ID,REGDATE,LAST NAME,FIRST NAME,EMAIL,ZIPCODE,CITY,STATE,ADDRESS,PHONE
26,12/2/08 23:19,panek,michael,dntisler@jumpstartlab.com,84105,salt lake city,UT,1434 Wilson Ave.,8013626000
841,1/17/09 14:21,cebulski,kate,orazrya1@jumpstartlab.com,84102,salt lake city,UT,1033 Barbara Pl Apt 2,8015505000
1933,1/21/09 22:00,engel,megan,bgc64@jumpstartlab.com,84102,salt lake city,UT,219 Elizabeth St.,8015505000
1940,1/21/09 22:03,gilbert,kristen,tpollins6@jumpstartlab.com,84121,salt lake city,UT,1343 Ashwood Circle,8015505000
1950,1/21/09 22:07,myett,student,wjang@jumpstartlab.com,84106,salt lake city,UT,834 E. Pond View Way,8015505000
1956,1/21/09 22:09,xx,adrienne,rrthleen.oflaherty@jumpstartlab.com,84121,salt lake city,UT,1213 Medical Plaza,8015505000
1960,1/21/09 22:11,ludmer,eileen,mhulger@jumpstartlab.com,84103,salt lake city,UT,723 11th Avenue,8015505000
1966,1/21/09 22:13,boozel,alex,jyhiang@jumpstartlab.com,84103,salt lake city,UT,220 A Street,8015505000
1972,1/21/09 22:15,berkley,susan,ceebst.4@jumpstartlab.com,84102,salt lake city,UT,1033 Barbara Pl,8015505000
1979,1/21/09 22:17,kopkin,emma,sxcoffey@jumpstartlab.com,84102,salt lake city,UT,1033 Barbara Pl,8015505000
1988,1/21/09 22:19,armacost,kate,hgle.Saud@jumpstartlab.com,84102,salt lake city,UT,1033 Barbara Pl,8015505000
4246,2/1/09 17:14,woolworth,lindsey,eoeal@jumpstartlab.com,84111,salt lake city,UT,350 south 200 east #406,8013594000
4718,2/1/09 22:00,wynn,rich,vkrenzo.serna@jumpstartlab.com,84109,salt lake city,UT,2887 Wainwright Road,8015505000
